Name,Author,Rating,Reviews,Type,Price(USD),Year
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,11081,Hardcover,1.54,2019
Giraffes Can't Dance (Board Book),Giles Andreae,4.8,21055,Board book,0.94,2019
If Animals Kissed Good Night,Ann Whitford Paul,4.8,31805,Board book,1.4,2019
"Oh, the Places You'll Go!",Dr. Seuss,4.9,17081,Hardcover,0.35,2019
Howard Stern Comes Again,Howard Stern,4.4,6533,Hardcover,17.5,2019
Guts,Raina Telgemeier,4.8,8118,Paperback,1.66,2019
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,24756,Hardcover,11.11,2019
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,12205,Hardcover,16.93,2019
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,11334,Hardcover,1.68,2019
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,Jennifer Smith,4.4,9974,Paperback,7.99,2019
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,20689,Paperback,8.99,2019
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,16173,Paperback,15.86,2019
Goodnight Moon,Margaret Wise Brown,4.9,13425,Board book,0.25,2019
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,18691,Paperback,1.54,2019
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,9999,Paperback,0.7,2019
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,12496,Hardcover,3.17,2019
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,25004,Hardcover,24.99,2019
The Silent Patient,Alex Michaelides,4.5,52453,Hardcover,5.85,2019
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,11783,Hardcover,2.5,2019
To Kill a Mockingbird,Harper Lee,4.8,36339,Paperback,2,2019
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,21065,Paperback,0.76,2019
